Names,Subscribers,Views,Videos,id,Date
b'Escape to nature',36200,9689728,353,UCmeZRcO7oappGtxj7TjfJMw,2014-04-26T14:24:32Z
b'Viasat Nature Romania',12,8690,4,UCKCww8xT4lzmZhSqsaNM2eQ,2021-05-14T14:27:16.64478Z
b'CONNECT NATURE',1370,60631,30,UCLZmIBL9aWeDPxbChM0oZGw,2020-07-15T11:08:24.403602Z
b'The Nature Company',732,42882,7,UC7Ygf2PYk8i9j6_IlCni01A,2020-02-07T10:35:10.774865Z
"b""Nature's Cadence Farm""",4650,1875436,190,UClyUxoTEpspaDKdxo0RnMrQ,2016-12-31T18:49:26Z
b'original natural sounds',169,1772,10,UCpGcabj8-lJHHBCdX-Ix9qg,2018-10-27T16:44:42Z
b'Gamtos dar\xc5\xbeelis Po Smilgom /Nature kindergarten',7,3555,1,UCHaLkgWCVcBWTKHv_ZvOlbw,2014-10-19T18:39:00Z
b'Centre d\xe2\x80\x99interpr\xc3\xa9tation de la nature du lac Boivin',0,485,3,UClTXX-j5JlnFhqcdGZyWXcA,2019-11-28T02:05:04.088766Z
b'\xec\x9e\xa0\xeb\xb0\x95\xec\x82\xacN \xec\x9e\x90\xec\x97\xb0\xec\x86\x8c\xeb\xa6\xac JAMBAKSA Nature',56500,6532323,36,UCCRT-RmRQLlf3HX_45WiveQ,2020-02-26T19:20:56.207419Z
b'Chartreuse Nature',32800,2729736,174,UCH5hNvYRoCphcKKkSi0Y4_w,2010-03-05T13:33:38Z
b'The Secrets of Nature',464000,118546018,326,UCVGTgXC1P--xM480Z6DqyAg,2014-01-21T11:34:16Z
b'Manju Nature Lover',9420,1173948,418,UCBCpP8LvSm_PWiEvaohNLAw,2019-06-26T16:46:31Z
b'Wander by Nature',708,111634,32,UCqheAnhz38zDJRjuArWbN5Q,2019-02-20T16:21:31Z
b'NATURE IKHLASS',8530,77543,85,UCLWGsJuQ4RuLIAmhYHDYGAA,2020-05-22T21:41:50.198164Z
b'NATURE JAPAN OFFICIAL',1040,16698,25,UC9CMTEkWyU9G6_nAMq2nIOw,2020-07-02T09:43:30.475712Z
b'The Nature of Science',72200,12009718,19,UCCuRjAP65z5wlw3Ke2z4dFg,2015-03-22T08:23:39Z
b'abril et nature',515,48884,64,UCHh01W9kMPwlY63tM37kehQ,2016-04-26T14:04:20Z
b'Healing and relaxation with nature and spirit',0,0,2,UC4cyHEr7OAFrdWm4JkK_t1w,2021-11-03T01:56:03.1112Z
"b""Nature Nate's Honey Co.""",6580,9956559,155,UC76jeoN823lUHJx9NFEJ5zw,2016-05-04T15:41:52Z
b'Nature of Armenia',70300,279178,289,UCToFdzWnNeJLJuWVgMBIu1Q,2014-08-28T19:06:23Z
b'Nature Nerds - Jezz & Jojo',1820,168989,42,UCzb9OhvQbHlgsEL7Qsin_NQ,2019-08-20T13:14:07Z
